raison_soc,adresse_1,adresse_2,adresse_3,code_posta,commune,decription,descriptif,descript_1,informatio,informat_1,marques_et,chartes,telephon,mail,site_inter
L'Etable,,41bis Péristyle du Gravier,,47000,AGEN,"Le restaurant L?Etable vous invite à venir découvrir la cuisine du Lot-et-Garonne, en salle ou bien sur sa terrasse donnant sur le cadre agréable de l?Esplanade du Gravier. Foie gras, magret et confit de canard accompagnés des frites de la maison f",,,,,,,+33 5 53 47 68 79,dominique.ferrero@free.fr,
Au Bureau,,8 place Jasmin,,47000,AGEN,"A deux pas du centre-ville d?Agen, prenez une pause Au Bureau, que ce soit pour déjeuner ou pour boire un verre entre amis. Ce pub-brasserie vous garantit une ambiance détendue et conviviale, dans un décor dépaysant s?inspirant de l?univers des pu",,,Ouvert toute l'année.,,,,+33 5 53 68 46 46,pubaubureauagen@wanadoo.fr,www.au-bureau.fr
Le Prince Noir,,6 rue de Menjoulan,,47310,SERIGNAC-SUR-GARONNE,"En plein coeur du Sud-ouest, l?hôtel-restaurant Le Prince Noir est un ancien monastère du XVIIème siècle transformé en un établissement de charme. Le chef donne un soupçon de modernité aux grands classiques de la cuisine française. Il vous prop","Menu adulte : de 17 à 34 euros
Menu enfant (jusqu'à 12 ans) : de 9 à 14 euros",,Ouvert du 5 janvier au 20 décembre.,,"Maître Restaurateur
Qualité Tourisme
Sourire du Lot-et-Garonne",,+33 5 53 68 74 30,contact@le-prince-noir.com,www.le-prince-noir.com
Le Yaka,,81 Péristyle du Gravier,,47000,AGEN,"A proximité du péristyle du Gravier d?Agen, lieu de promenade agréable le long de la Garonne, le Yaka vous invite à savourer sa cuisine traditionnelle proposant plats typiques du Sud-ouest ainsi que de délicieuses salades. Découvrez également ses",Se renseigner,,"Ouvert toute l'année, le lundi et du jeudi au dimanche. Fermé le mardi et le mercredi.",,,,+33 5 53 47 69 38,,
Buffalo Grill,,330 rue de Gardes,,47550,BOE,"Au sud d?Agen, venez apprécier l?atmosphère décontractée du Buffalo Grill de Boé. Dans un décor vous plongeant dans l?univers du Far West, le b?uf tient la vedette dans les multiples plats et menus proposés. L?équipe de Buffalo Grill sélect",,,,,,,+33 5 53 96 73 25,AGEN@buffalo-grill.fr,www.buffalo-grill.fr
La Licorne,,14 place Charles de Gaulle,,47310,ROQUEFORT,"Au c?ur de Roquefort et à tout juste 1 km du parc d?attractions Walibi, Eric Labertrandie et son équipe vous reçoivent dans le cadre chaleureux du restaurant La Licorne. Le chef vous fait découvrir sa cuisine traditionnelle du Sud-ouest et renouvè",,,,,,,+33 5 53 68 21 96,eric.labertrandie@wanadoo.fr,www.restaurant-la-licorne.com
L'Aromatik,,68 rue Richard Coeur de Lion,,47000,AGEN,"A quelques pas de la mairie d?Agen, au milieu des ruelles médiévales, L?Aromatik vous invite à venir découvrir ses spécialités dont le risotto de Saint-Jacques et le suprême de pigeonneau. Pendant la période estivale, le restaurant installe sa",,,Ouvert du mardi au dimanche. Fermé le samedi midi.,,,,+33 5 53 68 81 03,,
L'Orangerie - Château de Lassalle,,,Brimont,47310,LAPLUME,"Au coeur de la Gascogne, le restaurant du Château de Lassalle vous offre une halte de charme dans une demeure du XVIIIème siècle installée dans un parc de 8 hectares. Découvrez les plats de qualité du chef Didier GATINON  qui vous fait revisiter le",,,"Ouvert d'avril à octobre, tous les jours.
Ouvert de novembre à avril, du lundi au vendredi et le week-end sur réservation pour les groupes.
Fermeture 1 semaine pendant vacances d'hiver et 1 semaine à Noël",,Sourire du Lot-et-Garonne,,+33 5 53 95 10 58 ou +33 6 22 32 15 49,info@chateaudelassalle.com,www.chateaudelassalle.com
La Table d'Antan,,41 rue de la République,,47240,BON-ENCONTRE,"L?hôtel-restaurant La Table d?Antan vous accueille dans ses deux salles aux pierres apparentes. Dans une ambiance conviviale et détendue, la chef Colette Caron cuisine des plats du terroir et vous fait découvrir les saveurs ensoleillées des îles a","Menu adulte : de 16 à 30 euros
Menu enfant (jusqu'à 12 ans) : 10 euros
A la carte: de 10 à 40 euros
Menu du terroir Logis : 26 euros",,Ouvert toute l'année. Fermeture annuelle du 2 au 20 janvier.,,Sourire du Lot-et-Garonne,,+33 5 53 77 97 00,tabledantan@yahoo.fr,www.table-d-antan-hotel.fr
L'arti show,,25 rue des Cornières,,47000,AGEN,"Eric et Philippe, de retour à Agen, font leur show. Le premier pour les plats salés, le second pour les douceurs. Tombés dans la marmite dans leur jeunesse, les deux compères après avoir vu du pays, sont de retour en terre agenaise pour le plaisir d",Se renseigner.,,"Ouvert toute l'année, du lundi au samedi de 11h à 15h et de 18h à minuit. Fermé le dimanche.",,,,+33 5 53 99 72 62 ou +33 6 42 21 02 78,,
Escale au Maroc,,17 avenue du Général De Gaulle,,47000,AGEN,"Venez vous évader au restaurant l?Escale au Maroc, petit oasis en plein c?ur du centre-ville d?Agen ! Prenez place dans les 4 tentes traditionnelles entourées de palmiers et débordantes de couleurs. Ce lieu festif vous sert le fameux couscous royal",Se renseigner.,,"Ouvert tout l'année, du mardi au dimanche midi.",,,,+33 5 53 47 57 47,,www.escale-au-maroc.com
La Cigale,,Place du Prieuré,,47310,MOIRAX,"Située juste en face du prieuré de Moirax, La Cigale propose à sa clientèle, une petite épicerie de dépannage, des casse-croûtes, des petits repas à consommer sur place ou à emporter, glaces, boissons...",,,,,,,+33 5 53 99 61 56,,
La Palmeraie,,34 avenue Michel Ricard,,47520,LE PASSAGE,Jérôme et Cathy vous invitent à passer un moment agréable dans leur brasserie La Palmeraie. Installez vous dans la salle climatisée moderne et lumineuse ou bien en terrasse pour profiter des beaux jours. Les deux cuisiniers de La Palmeraie vous mijo,,,,,,,+33 5 53 96 19 13,brasserie.lapalmeraie@orange.fr,http://lapalmeraie-agen.fr
Auberge Le Prieuré,,Le bourg,,47310,MOIRAX,"Dans une maison à colombages du XVIIIème siècle, au coeur du village de Moirax, l'Auberge du Prieuré vous invite à déguster une cuisine moderne et surprenante, composée à partir de bons produits de saison. Cuisine vive, fraîche et tranchante.",,,Ouvert du mercredi midi au dimanche midi inclus de 12h30 à 14h et de 20h à 21h30. Fermé du dimanche soir au mardi soir inclus.,,,,+33 5 53 47 59 55,,http://aubergeduprieuredemoirax.fr/blog/
Côté Jasmin,,7 avenue du Général de Gaulle,,47000,AGEN,"Situé dans un quartier animé d?Agen près du péristyle du Gravier, le restaurant Côté Jasmin vous offre un accueil convivial et vous invite à déguster sa cuisine de terroir du Sud-ouest. Découvrez ses spécialités dont son foie gras poêlé et",,,"Ouvert du lundi au dimanche tous les midis, et du vendredi au dimanche tous les soirs.",,,,+33 5 53 67 06 06,,
Es Vedra,,97 Péristyle du Gravier,,47000,AGEN,"Situé en face du jardin public d?Agen et près des Voies sur Berge, sous des arcades, le restaurant Es Vedra vous accueille en terrasse ou dans sa salle à l?ambiance « lounge ». Dégustez ses tapas, brochettes, salades, cuisine à la plancha et div",,,,,,,+33 5 53 95 75 07,,
Le Passage,,,Gaussens,47520,LE PASSAGE,"Proche de l?autoroute A62 et d?Agen, Patricia Taddei et son équipe vous accueillent chaleureusement au restaurant Le Passage. Trouvez dans vos assiettes une cuisine traditionnelle, raffinée et copieuse. Le Passage vous propose des menus accompagnés",Menu adulte : de 11 à 13 euros,,"Ouvert toute l'année, du lundi au vendredi midi et soir et le samedi midi.",,,,+33 5 53 77 32 40,lepassage47@orange.fr,www.restaurant-lepassage.fr
Philippe Vannier,,66 rue Camille-Desmoulins,,47000,AGEN,"Philippe Vannier vous accueille dans son restaurant au cadre original et intime et aux murs de pierres apparentes, créant une atmosphère feutrée et chaleureuse. Admirez les ?uvres d?art contemporain exposées dans la salle de restauration provenant","Menu adulte : de 23 à 32,50 euros
Menu enfant : de 6 à 12 euros
Carte : de 20 à 48 euros",,"Ouvert toute l'année :
- du mardi au dimanche de 12h à 13h15
- du lundi au jeudi de 17h30 à 21h
- vendredi et samedi de 20h à 21h15
Ouvert le dimanche midi uniquement sur réservation 24h à l'avance",,,,+33 5 53 66 63 70,restaurant-philippe-vannier@aliceadsl.fr,www.philippe-vannier.fr
La Part des Anges,,14 rue Emile Sentini,,47000,AGEN,"Niché dans une rue piétonne agréable du centre-ville agenais, Céline et Xavier vous invitent à passer un moment convivial au restaurant La Part des Anges. Celui-ci se compose de deux salles au décor raffiné de 15 couverts chacune et d?une terrass","Menu du jour, le midi (entrée/plat/dessert): 15 euros
Menu adulte : 25 euros",,Ouvert du mardi au samedi de 12h à 14h et de 19h à 21h30.,,,,+33 5 53 68 31 00,,www.lapartdesanges.eu
Le 6 de Michel Latrille,,6 rue Albert Ferasse,,47550,BOE,"Sylvie et Michel Latrille vous accueillent dans leur restaurant Le 6 de Michel Latrille, situé au 3ème étage d?un immeuble moderne avec une vue dégagée sur Boé. Profitez de sa salle lumineuse, au décor de loft et aux murs entièrement vitrés. De","Menu : de 14,50 euros (le midi uniquement) à 29 euros euros
A la carte : a partir de 20 euros
Men enfant : 8 euros",,,,,,+33 5 53 66 10 05,contact@latrille.com,www.latrille.com
Le Périgord,,42 cours du 14 juillet,,47000,AGEN,"Non loin de la gare d?Agen et du canal de Garonne, l?hôtel-restaurant Le Périgord vous fait découvrir les saveurs du Sud-ouest. Sur la table du Périgord, goûtez les produits qui font la réputation gastronomique du Lot-et-Garonne. 
L?hôtel met ?","Menu adulte : de 13,90 à 21,90 euros
Menu enfant : 10 euros",,Ouvert toute l'année.,,,,+33 5 53 77 55 77,leperigord47@free.fr,www.leperigord47.com
Bar Restaurant L'Escale,,1 place de l'Hôtel de Ville,,47310,SERIGNAC-SUR-GARONNE,"Jean-Luc et Francine Farez vous invitent à faire une pause gourmande dans leur bar-restaurant L?Escale. Dégustez une cuisine simple et copieuse et goûtez aux pizzas de la maison sur place ou à emporter. En été, savourez des salades bien garnies su",,,,,,,+33 5 53 95 38 79,farez.jean-luc@orange.fr,
Brasserie des Platanes en Brulhois,,Place Raoul Rogale,,47220,CAUDECOSTE,,,,,,,,+33 5 53 87 37 12,,
Côté Sud,,36 Cours Gambetta,,47000,AGEN,"Côté Sud vous invite à venir déguster les saveurs ensoleillées du Sud, de la Provence à la Gascogne. Dans une ambiance décontractée, goûtez à une cuisine raffinée et simple. Le restaurant propose des plats faits maison préparés avec des prod",,,Ouvert toute l'année.,,,,+33 5 53 96 16 67,,
Illi'co pizza,,,Zone artisanale Larrouy,47310,ROQUEFORT,"Illi?co Pizza vous invite à faire une halte à l'italienne. Découvrez un grand choix de pizzas et de spécialités d'Italie. Illi'co Pizza vous propose également toutes sortes de salades, de paninis et de desserts à emporter. Profitez dès les beaux",,,,,,,+33 5 53 95 25 70,,
Le Joy's,,Galerie marchande Géant Casino,Gardes,47550,BOE,"Découvrez la cuisine de type bistrot du café-restaurant Le Joy?s, situé dans la galerie marchande du Géant Casino de Boé. Goûtez à une cuisine généreuse de qualité élaborée avec des produits du marché. Le Joy?s vous garantit un accueil cha",,,,,,,+33 5 53 96 10 00,mjmorlay@hotmail.fr,
Le stand,,Route d'Astaffort,Peyroche,47220,CAUDECOSTE,Alexandra Barrère vous accueille dans son restaurant qui jouxte la piste de karting.,"Menu du jour : 13,50 euros",,"Ouvert toute l'année, le midi. Fermé le mardi. Possibilité repas de groupe le soir sur réservation.",,,,+33 5 53 47 49 09,lestand47@orange.fr,
Le Washington,,7 cours Washington,,47000,AGEN,"Dans une maison bourgeoise datant du XIXème siècle, Marie et Patrick Pinard vous accueillent dans le cadre chaleureux de leur restaurant Le Washington. Trouvez votre bonheur parmi les délicieux plats à la carte et les menus, dont le « Menu Gourmand",,,"Ouvert toute l'année, du lundi au vendredi midi et soir.",,,,+33 5 53 48 25 50,patrick.pinard4@wanadoo.fr,www.le-washington.com
Campanile,,Avenue André Tissidre,ZAC Agen sud,47000,AGEN,"A 3 km du centre-ville et de la gare d?Agen, le restaurant du Campanile vous propose une cuisine régionale ou traditionnelle, légère ou familiale. Découvrez un large choix entre les formules-buffet, les menus (enfant, gourmand ?) et les plats à la",Non communiqués,,"Ouvert toute l'année, tous les jours sauf le 24 décembre.",,Sourire du Lot-et-Garonne,,+33 5 53 68 08 08,agen@campanile.fr,www.campanile-agen.fr
La Bodéga,,7 bis place Jasmin,,47000,AGEN,"Près du centre-ville d?Agen, venez découvrir la cuisine espagnole du restaurant La Bodéga. Dans sa salle au décor faisant référence aux corridas ou bien sur sa terrasse, dégustez toutes sortes de poissons et de viandes grillés à la plancha et g",,,"Ouvert toute l'année, du mardi au dimanche. Fermé le lundi.",,,,+33 5 53 48 26 83,,
Les Allées,,4 avenue Jean Coulon,,47390,LAYRAC,,"Menu adulte : de 12,50 à 27 euros
Menu enfant : 6 euros",,,,,,+33 5 53 87 00 44,bardesallees@neuf.fr,
Au bon accueil,,Place de la Craste,,47220,ASTAFFORT,Valérie vous accueille à Astaffort et vous fait découvrir leur cuisine traditionnelle élaborée à partir de produits locaux. Aux beaux jours profitez de la terrasse ...,,,,,,,+33 5 53 67 11 52,,
La Traviata,,39 avenue Charles De Gaulle,,47000,AGEN,"A deux pas des voies sur Berge d?Agen situées le long de la Garonne, le restaurant La Traviata vous accueille chaleureusement pour une pause repas à l?italienne. En salle ou bien sur la petite terrasse aux beaux jours, La Traviata vous sert une cuisi",,,"Ouvert toute l'année, du mardi midi au samedi soir.",,,,+33 5 53 47 46 79,,
La Vign'aux Vins,,19 boulevard Edouard Lacour,,47000,AGEN,"Isabelle et Gérald Meslier vous accueillent chaleureusement dans leur restaurant La Vign?aux Vins, situé à l?est du célèbre stade Armandie d?Agen. Avec ou sans réservation, venez découvrir leur nouvelle carte proposant les fameux hamburgers mai",,,"Ouvert toute l'année, tous les midis du lundi au vendredi. Les soirs du jeudi au samedi.",,,,+33 5 53 66 51 85,lavignauxvins@bbox.fr,www.lavigneauxvins.com
Au Colombier du Touron,,187 avenue des Landes,,47310,BRAX,"En terre de Gascogne, l?hôtel-restaurant Au Colombier du Touron vous présente son univers tout en harmonie, mariage des sens et des saveurs. Le restaurant vous accueille dans ses deux vastes salles lumineuses ouvrant sur le parc et le pigeonnier du XV","Menu adulte : de 23 à 48 euros
Menu enfant : 14 euros
Menu du Terroir Logis : 36 euros
A la carte : de 19 à 28 euros",,"Ouvert toute l'année
Fermeture hebdomadaire le dimanche soir et lundi midi, sauf groupes et séminaires sur réservation",,"Qualité Tourisme
Sourire du Lot-et-Garonne",,+33 5 53 87 87 91,contact@colombierdutouron.com,www.colombierdutouron.com
Le 104,,106 boulevard de la Liberté,,47000,AGEN,Le 104 vous accueille chaleureusement et vous invite à savourer sa cuisine traditionnelle. Ce bar-brasserie dispose de deux salles climatisées et d'une grande terrasse fleurie. L'équipe vous propose un menu complet le midi et un menu plus raffiné le,,,"Ouvert toute l'année, tous les jours du lundi au dimanche, de 10h à 22h.",,,,+33 9 82 33 07 60,,
Le Parc d'Aquitaine,,Avenue d'Aquitaine,,47550,BOE,"Installé au coeur du marché aux bestiaux de Boé, le Parc d?Aquitaine vous propose une cuisine du terroir dans une ambiance conviviale. De par sa localisation, ce restaurant vous sert toutes sortes de spécialités de viandes appétissantes.  Découvr",,,"Ouvert toute l'année du lundi au vendredi, le midi.",,,,+33 5 53 98 19 91,leparcdaquitaine@gmail.com,
Le Temps de Vivre,,Blanchard,,47450,SAINT-HILAIRE-DE-LUSIGNAN,"Dans un cadre très agréable à la campagne, Le Temps de Vivre vous propose une cuisine traditionnelle et créative. Le chef ne travaille que des produits frais.",,,,,,,+33 5 53 67 67 17,,
Le Bistrot Voltaire,,45 rue Voltaire,,47000,AGEN,"Près du théâtre Ducourneau d?Agen, Aurélie et toute son équipe vous reçoivent au Bistrot Voltaire dans une ambiance décontractée, à table ou au comptoir. Le Bistrot Voltaire vous propose une cuisine traditionnelle du Sud-ouest ainsi que des pla","Plat du jour : 10 euros
Menu du midi, formule du marché : 16 euros (entrée, plat et dessert)
Menu adulte : 22 euros et menu 31 euros (3 plats)
Menu Bistrot : 22 euros",,"Ouvert toute l'année, du mardi au vendredi, midi et soir et le samedi soir.",,Maître Restaurateur,,+33 5 53 47 62 42,,www.bistrotvoltaire.fr
L'Agenais,,109 boulevard de la République,,47000,AGEN,,,,,,,,+33 5 53 68 09 37,,
L'Amandine,,46 et 57 rue Molinier,,47000,AGEN,"L?Amandine vous offre une halte paisible et gourmande en plein centre-ville, dans une petite rue piétonne près de la cathédrale Saint-Caprais d?Agen. Amandine vous propose 3 ou 4 plats différents par jour selon l?inspiration que lui donnent les pr",,,"Ouvert toute l'année, le lundi de 10h30 à 14h30 et du mardi au samedi de 10h30 à 18h30.",,,,+33 5 53 66 89 33,,
L'Atelier,,14 rue du Jeu de Paume,,47000,AGEN,"Stéphane et Marjorie vous accueillent dans un ancien atelier de menuiserie qu?ils ont transformé en un restaurant chaleureux. Pendant que Marjorie en cuisine vous régale de ses plats originaux, Stéphane prend son rôle de sommelier à c?ur en vous",,,Ouvert du lundi midi au samedi soir. Fermé le samedi midi et le dimanche toute la journée.,,,,+33 5 53 87 89 22,restaurant.l.atelier@orange.fr,
Le Vieux Village,,,Mestre Marty,47310,ESTILLAC,,,,"Ouvert toute l'année, du lundi au vendredi.",,,,+33 5 53 67 62 61,,
La Claie des Vergers,,2 Centre Commercial,,47310,BRAX,"A 10 minutes à l?ouest d?Agen, Cédric et Emmanuelle Groult vous accueillent dans leur restaurant La Claie des Vergers situé à Brax. Pour votre déjeuner, profitez du buffet à volonté proposant entrées, plats garnis et desserts gourmands. La Clai",,,Le restaurant est ouvert toute l'année tous les midis du lundi au samedi. Le bar est ouvert du lundi au vendredi de 8h30 à 19h30 et le samedi de 9h à 15h.,,,,+33 5 53 68 64 66,laclaiedesvergers@orange.fr,
Le Restaurant de l'Hippodrome,,La Garenne,,47520,LE PASSAGE,,,,Ouvert le jour des courses et possibilité d'ouverture sur réservation pour les repas de groupe.,,,,+33 5 53 96 23 66 ou +33 5 53 96 51 06,,
Les Copains d'abord,,24 rue des Cornières,,47000,AGEN,"Situé dans la rue historique des Cornières, le restaurant Les Copains d?abord vous prépare une cuisine traditionnelle ensoleillée du Sud-ouest. Découvrez les saveurs de la Gascogne en toute convivialité et simplicité. Le restaurant dispose d?une",,,Ouvert du mardi au samedi. Fermé le dimanche et le lundi. Possibilité d'accueillir les groupes le dimanche sur réservation.,,,,+33 5 53 87 73 06,,
Viva la Plancha,,3 rue Emile Santini,,47000,AGEN,"Venez découvrir une cuisine pleine de soleil au restaurant Viva La Plancha ! Avec une très forte inspiration espagnole, l?équipe vous sert ses spécialités de viandes rouges et de gambas grillées à la plancha, tapas, charcuteries espagnoles et aut",,,Ouvert toute l'année,,,,+33 5 53 48 32 61,,www.restaurant-viva-la-plancha.fr
Café du Centre,,25 rue de la République,,47240,BON-ENCONTRE,"A 10 minutes d?Agen, le Café du Centre de Bon-Encontre vous réserve un accueil chaleureux. Goûtez une cuisine de qualité élaborée avec des produits frais. Le Café du Centre vous sert des plats copieux et savoureux.",Menu adulte : 13 euros,,Ouvert du lundi au vendredi midi,,,,+33 5 53 96 77 61,,
Le Cauquil,,9 avenue du Général De Gaulle,,47000,AGEN,"A deux pas des Voies sur Berge de la Garonne et de l?Esplanade du Gravier, Le Cauquil vous propose une cuisine traditionnelle et régionale à base de produits frais. Ce restaurant agenais de type bistrot-brasserie sert des menus et des plats préparés","Menu adulte : 22 euros
A la carte : de 25 euros à 30 euros
Menu enfant : 5 euros",,,,,,+33 5 53 48 02 34,,
Le Nostradamus,,40 rue des Nitiobriges,,47000,AGEN,"Amandine et Miguel vous invitent à venir goûter leur cuisine contemporaine dans une ancienne ferme du XVème siècle. Située à 3 min du centre-ville d?Agen, cette demeure de caractère accueillit Michel de Nostre-Dame ""Nostradamus"" et sa famille. 
I","Menu adulte : de 19 à 46 euros
Menu enfant : 9 euros",,"Ouvert toute l'année, du mardi au dimanche, de 12h30 à 13h30 et de 19h30 à 21h15.
Fermé le dimanche soir et le lundi",,Maître Restaurateur,,+33 5 53 47 01 02,contact@lenostradamus.com,www.lenostradamus.com
Brit Hôtel Agen,,Centre hôtelier et routier,Gaussens,47520,LE PASSAGE,"Situé aux portes d?Agen, le restaurant traditionnel du Brit Hôtel Agen peut accueillir jusqu'à 50 couverts. Le chef adapte sa cuisine en fonction des produits de saison, et vous invite à découvrir le terroir du Sud-ouest. En salle ou bien dans le j",,,"Ouvert toute l'année, du lundi au vendredi midi et le weekend sur réservation pour les groupes.",,,,+33 5 53 96 36 35,aquitaine@brithotel.fr,http://hotel-agen.brithotel.fr
La Pataterie,Centre Commercial Géant Casino,Avenue de la Capelette D17,,47550,BOE,"Le décor est chaleureux, l'ambiance champêtre pour ce restaurant offrant des recettes variées autour de la pomme de terre.
Le spectacle est partout. Vos yeux n'en reviendront pas et vos papilles non plus.
Installez-vous, soufflez, prenez le temps de c","Formules midi : de 8,95 à 10,95  euros
Menus enfant : de 5,70 à 6,70 euros
Menu soir et we : de 14,50 à 17,90 euros
Mini : 6,95 euros et max : 21,60 euros",,"Ouvert toute l'année, du lundi au dimanche.
- du dimanche au jeudi de 11h45 à 14h et de 19h à 21h30
- vendredi et samedi de 11h45 à 14h et de 19h à 22h30","Ouvert toute l'année, du lundi au dimanche.
- du dimanche au jeudi de 11h45 à 14h et de 19h à 21h30
- vendredi et samedi de 11h45 à 14h et de 19h à 22h30",,,+33 5 53 99 57 48,restaurant@lapatarie-agen.com,www.lapataterie.fr
Le Patio,,677 avenue de la Libération,,47450,COLAYRAC-SAINT-CIRQ,,"Menu du jour en semaine : 12 euros
A la carte : de 16,50 à 24 euros
Menu enfant (jusqu'à 10 ans) : 11 euros",,"Ouvert toute l'année, du lundi au samedi, le midi.",,,,+33 5 53 95 59 06,lepatio47@orange.fr,
Impérial Buffet,,21 avenue de Bigorre,,47550,BOE,"L?Impérial Buffet de Boé vous invite à découvrir ses plats asiatiques, que vous pouvez déguster à volonté ! Son buffet présente plus de 50 plats, entrées et desserts pour un voyage culinaire au coeur de l?Asie. L?Impérial Buffet offre la pos",,,"Ouvert toute l'année, du lundi au dimanche midi. Fermé le dimanche soir.",,,,+33 5 53 47 37 37,imperialboe@gmail.com,www.imperial-buffet.fr
La Table d'Armandie,,1350 Avenue du Midi,,47000,AGEN,"Situé à l?entrée d?Agen et très facile d?accès, La Table d?Armandie vous propose une cuisine naturelle et de qualité. Le chef Michel Dussau et son équipe professionnelle abordent de façon moderne la gastronomie traditionnelle et inventent une",,,,,"Maître Restaurateur
Sourire du Lot-et-Garonne",,+33 5 53 96 15 15,latable.darmandie@orange.fr,http://latabledarmandie.fr/
Le Toucan,,2 route d'Agen,,47310,ROQUEFORT,Le Toucan est un bar-restaurant situé au coeur du village de Roquefort et à deux pas du célèbre parc d'attraction Walibi Sud Ouest. L'équipe du restaurant accueille les repas de groupe sur réservation. Dégustez une cuisine traditionnelle de qualit,,,"Ouvert toute l'année, du lundi au samedi de 7h à 21h.",,,,+33 5 53 67 23 29,,
